what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1352473895388
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352473899513
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1352473901026
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1352473901026
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352473901045
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1352473901665
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352473916555
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352473918326
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352473930104
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352473943015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352473960389
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352473984497
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352474001078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352474278513
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352474290015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352478437272
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352478440663
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1352478442808
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1352478443897
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1352478443897
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1352478443897
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1352478443897
